Dataset,\lambda,AUC_Mean
AIDS,0.0,99.5
AIDS,0.01,99.6
AIDS,0.1,99.5
AIDS,2,99.9
AIDS,10.0,99.6
AIDS,100.0,99.9
AIDS,9999 ,99.8
IMDB,0.0,74.3
IMDB,0.01,75.3
IMDB,0.1,74.5
IMDB,2,73.8
IMDB,10.0,72.1
IMDB,100.0,77.7
IMDB,9999,73.9
p53,0.0,73.0
p53,0.01,73.8
p53,0.1,73.2
p53,2,78.5
p53,10.0,75.1
p53,100.0,78.6
p53,9999,79.5
Proteins_full,0.0,79.9
Proteins_full,0.01,78.6
Proteins_full,0.1,76.4
Proteins_full,2,80.9
Proteins_full,10.0,76.4
Proteins_full,100.0,78.9
Proteins_full,9999,79.2
